,ID,VIN
0,837475531,WBADP6333XBV61410
1,816384465,4T1BF22K7YU106379
2,836560292,1J4GW48N0YC204645
3,812797661,WP0CA2988YU628262
4,839374321,WBAEJ1346YAH60057
5,839153509,1HGCG3255YA007424
6,836859643,4T3ZF13C1YU215038
7,838435230,1FMRU17L0YLC48482
8,839382186,JT6GF10U2Y0049760
9,838801658,JS2GB41W5Y5181720
10,821871819,3FAFP3135YR211230
11,824584495,SCAZK29E8YCX68015
12,838045897,4USCH9340YLF86070
13,839037502,JT8BD68S4Y0091726
14,840247342,1J4FA29P5YP783784
15,827014798,2G1WF52E1Y9228596
16,837496039,
17,836898319,1J4FT48SXYL134615
18,808018573,137ZA8434YE188126
19,818972659,1GNEC13T0YJ169814
20,839598942,2GCEC19V2Y1398944
21,840022222,1FMRU15L3YLA92747
22,810677726,3VWCC21C6YM441730
23,831781653,4T3ZF13C8YU275155
24,834170587,2MEFM75W21X622685
25,804624569,WBSDE934X1BZ97366
26,834184756,1B7MF33791J601932
27,834418243,WBSDE93441BZ98965
28,826755713,1GCEK19T11E201185
29,831835048,1B4HS28N71F538618
30,814343891,5TDZT38A41S004211
31,837728219,1FTSW31F41ED11916
32,830707387,137ZA84361E191969
33,839029541,1J4GX48S51C594991
34,838579060,ZFFZR52A910124304
35,840088079,KMHDN45D91U228655
36,839452155,JN8DR09Y61W607166
37,834143500,4JGAB54E31A232732
38,806259719,1NXBR12E51Z459351
39,839859614,KM8SC83D51U092712
40,830173510,1B7HC16X61S117026
41,839221067,1FAFP33P51W273715
42,829276797,1G1ND52J016206214
43,824772348,5N1ED28T71C518123
44,826424681,2T1CF28P31C516546
45,797640919,1G3WS52H61F179230
46,839985309,1FTRW08L41KB33614
47,836273550,JT3GN86R910209831
48,838799443,1FMZU63E52UB28697
49,839651182,2MEFM75W02X665309
50,840318673,1FAFP40462F240806
51,836628921,1P9PB48372B213068
52,834591146,1FAHP60A72Y124707
53,838755732,JHMCG66802C019916
54,839626850,4T1BE30K92U057446
55,837727262,1FMRU17L32LA20855
56,830338544,WBABN33402PG54114
57,802833081,1HGEM21932L068556
58,818096878,1FMSU43F32EC14292
59,835189910,WBABS534X2JU92822
60,834346500,2C3AE66G02H204412
61,836902384,WP0AB29962S686080
62,837039788,1FAHP60A02Y107506
63,820227670,1FAHP60A62Y106327
64,839049294,JTJGF10U920141509
65,839057159,1G1YY22G125100866
66,840315944,JN8DR09Y22W732778
67,837833240,4A3AE85H02E063203
68,824613728,WP0CA29862U622970
69,828690369,JTEHT05J322028311
70,837299553,WBADN63422GN86163
71,611387173,WDBLK70GX2T109708
72,839662533,1G6KY54982U110963
73,839003901,WBADT43462GZ99830
74,839602253,1FTRX17252KE22028
75,839357479,1D7HU18Z92J204055
76,839317209,1FAHP56S52A181412
77,838665993,JTHFN48Y620028254
78,837622077,1LNHM83W52Y612460
79,828032006,TRUUT28N821006491
80,829029340,WDBJF70J02B421470
81,831877436,2G1FP22G022169778
82,827378619,5N1ED28T72C555139
83,839651175,JM1BJ226121629007
84,839701558,SHHEP33592U301606
85,833975497,ZAMBB18A120006216
86,839915319,WP0CA29922S650916
87,820152952,SCBLC31E82CX08257
88,837557299,KMHCF35G22U208052
89,827023736,JT2BK18U020056581
90,837897720,1NXBR32E23Z110615
91,837823281,1G6DM57N530116922
